
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1    0.00000000000        0.712500000000E-002   0.750000000000E-001
        2    0.00000000000         0.00000000000        0.821250000000E-001
        3    0.00000000000        0.688222151231E-002   0.768440856964E-001
        4    0.00000000000        0.617043100153E-002   0.785625000008E-001
        5    0.00000000000        0.503813581473E-002   0.800381358172E-001
        6    0.00000000000        0.356249999774E-002   0.811704310033E-001
        7    0.00000000000        0.184408569301E-002   0.818822215132E-001
        8   0.553700000000        0.147451495458E-016   0.821250000000E-001
        9   0.589042553192E-002   0.147451495458E-016   0.821250000000E-001
       10   0.117808510638E-001   0.147451495458E-016   0.821250000000E-001
       11   0.176712765957E-001   0.147451495458E-016   0.821250000000E-001
       12   0.235617021277E-001   0.147451495458E-016   0.821250000000E-001
       13   0.294521276596E-001   0.147451495458E-016   0.821250000000E-001
       14   0.353425531915E-001   0.147451495458E-016   0.821250000000E-001
       15   0.412329787234E-001   0.147451495458E-016   0.821250000000E-001
       16   0.471234042553E-001   0.147451495458E-016   0.821250000000E-001
       17   0.530138297872E-001   0.147451495458E-016   0.821250000000E-001
       18   0.589042553192E-001   0.147451495458E-016   0.821250000000E-001
       19   0.647946808511E-001   0.147451495458E-016   0.821250000000E-001
       20   0.706851063830E-001   0.147451495458E-016   0.821250000000E-001

   NODE        X                   Y                   Z
       21   0.765755319149E-001   0.147451495458E-016   0.821250000000E-001
       22   0.824659574468E-001   0.147451495458E-016   0.821250000000E-001
       23   0.883563829787E-001   0.147451495458E-016   0.821250000000E-001
       24   0.942468085106E-001   0.147451495458E-016   0.821250000000E-001
       25   0.100137234043        0.147451495458E-016   0.821250000000E-001
       26   0.106027659574        0.147451495458E-016   0.821250000000E-001
       27   0.111918085106        0.147451495458E-016   0.821250000000E-001
       28   0.117808510638        0.147451495458E-016   0.821250000000E-001
       29   0.123698936170        0.147451495458E-016   0.821250000000E-001
       30   0.129589361702        0.147451495458E-016   0.821250000000E-001
       31   0.135479787234        0.147451495458E-016   0.821250000000E-001
       32   0.141370212766        0.147451495458E-016   0.821250000000E-001
       33   0.147260638298        0.147451495458E-016   0.821250000000E-001
       34   0.153151063830        0.147451495458E-016   0.821250000000E-001
       35   0.159041489362        0.147451495458E-016   0.821250000000E-001
       36   0.164931914894        0.147451495458E-016   0.821250000000E-001
       37   0.170822340426        0.147451495458E-016   0.821250000000E-001
       38   0.176712765957        0.147451495458E-016   0.821250000000E-001
       39   0.182603191489        0.147451495458E-016   0.821250000000E-001
       40   0.188493617021        0.147451495458E-016   0.821250000000E-001

   NODE        X                   Y                   Z
       41   0.194384042553        0.147451495458E-016   0.821250000000E-001
       42   0.200274468085        0.147451495458E-016   0.821250000000E-001
       43   0.206164893617        0.147451495458E-016   0.821250000000E-001
       44   0.212055319149        0.147451495458E-016   0.821250000000E-001
       45   0.217945744681        0.147451495458E-016   0.821250000000E-001
       46   0.223836170213        0.147451495458E-016   0.821250000000E-001
       47   0.229726595745        0.147451495458E-016   0.821250000000E-001
       48   0.235617021277        0.147451495458E-016   0.821250000000E-001
       49   0.241507446809        0.147451495458E-016   0.821250000000E-001
       50   0.247397872340        0.147451495458E-016   0.821250000000E-001
       51   0.253288297872        0.147451495458E-016   0.821250000000E-001
       52   0.259178723404        0.147451495458E-016   0.821250000000E-001
       53   0.265069148936        0.147451495458E-016   0.821250000000E-001
       54   0.270959574468        0.147451495458E-016   0.821250000000E-001
